epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1666666716337204,0.0010000000474974513,1.5919067859649658,0.054054055362939835,1.5785783529281616
1,0.26605504751205444,0.0010000000474974513,1.5389541387557983,0.792792797088623,1.4214824438095093
2,0.43119266629219055,0.0010000000474974513,1.4208259582519531,0.7477477192878723,0.9476444125175476
3,0.428134560585022,0.0010000000474974513,1.259526014328003,0.7972972989082336,0.6148672699928284
4,0.466360867023468,0.0010000000474974513,1.1590298414230347,0.8018018007278442,0.4965835511684418
5,0.483180433511734,0.0010000000474974513,1.1245087385177612,0.7522522807121277,0.5305664539337158
6,0.5428134799003601,0.0010000000474974513,1.0807380676269531,0.8018018007278442,0.46245554089546204
7,0.5351681709289551,0.0010000000474974513,1.057759165763855,0.792792797088623,0.4580826759338379
8,0.5244648456573486,0.0010000000474974513,1.038421869277954,0.7882882952690125,0.44179266691207886
9,0.5474005937576294,0.0010000000474974513,1.0229674577713013,0.8063063025474548,0.44866743683815
10,0.5412843823432922,0.0010000000474974513,1.0011886358261108,0.8018018007278442,0.4161578416824341
11,0.5565749406814575,0.0010000000474974513,0.9567984938621521,0.8063063025474548,0.41886019706726074
12,0.5932721495628357,0.0010000000474974513,0.9215368628501892,0.7792792916297913,0.423546701669693
13,0.574923574924469,0.0010000000474974513,0.9374724626541138,0.7972972989082336,0.42341434955596924
14,0.5642201900482178,0.0010000000474974513,0.9285814166069031,0.8108108043670654,0.40661999583244324
15,0.5795106887817383,0.0010000000474974513,0.921023964881897,0.792792797088623,0.4067399203777313
16,0.5856269001960754,0.0010000000474974513,0.9035266637802124,0.7882882952690125,0.46149584650993347
17,0.5810397267341614,0.0010000000474974513,0.9222159385681152,0.8063063025474548,0.4111592173576355
18,0.6192660331726074,0.0010000000474974513,0.8705686926841736,0.8108108043670654,0.4209742844104767
19,0.5963302850723267,0.0010000000474974513,0.8705393671989441,0.8063063025474548,0.45410940051078796
20,0.5932721495628357,0.0010000000474974513,0.8886337876319885,0.8018018007278442,0.40182405710220337
21,0.5902140736579895,0.0010000000474974513,0.8610814809799194,0.8018018007278442,0.39413684606552124
22,0.6269113421440125,0.0010000000474974513,0.8561840653419495,0.8018018007278442,0.40851661562919617
23,0.6376146674156189,0.0010000000474974513,0.8270752429962158,0.8063063025474548,0.41004127264022827
24,0.6009174585342407,0.0010000000474974513,0.8414131999015808,0.837837815284729,0.38519755005836487
25,0.6330274939537048,0.0010000000474974513,0.8263053297996521,0.8108108043670654,0.40649867057800293
26,0.6238532066345215,0.0010000000474974513,0.8273458480834961,0.815315306186676,0.39021414518356323
27,0.6177369952201843,0.0010000000474974513,0.8635851144790649,0.815315306186676,0.4003160893917084
28,0.6636085510253906,0.0010000000474974513,0.802821159362793,0.815315306186676,0.406207412481308
29,0.6345565915107727,0.0010000000474974513,0.814574658870697,0.815315306186676,0.4002717435359955
